Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message
670979,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,Summer 2020,28.49,
605250,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),303,East Harlem,Summer 2018,28.83,
605267,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),410,Rockaways,Summer 2018,35.18,
605233,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,Summer 2018,31.52,
670947,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),405,Ridgewood - Forest Hills,Summer 2020,30.2,
670938,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,Summer 2020,29.62,
650943,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),304,Upper West Side,Summer 2019,25.59,
650944,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),305,Upper East Side,Summer 2019,25.88,
650948,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,Summer 2019,25.72,
650940,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),301,Washington Heights,Summer 2019,27.73,
605257,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,Summer 2018,25.92,
605234,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,Summer 2018,29.96,
670962,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,Summer 2020,29.38,
605256,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,Summer 2018,26.82,
650924,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,Summer 2019,29.64,
670977,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,Summer 2020,30.17,
670974,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,Summer 2020,30.13,
650932,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),204,East New York,Summer 2019,32.61,
605261,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),404,Bayside - Little Neck,Summer 2018,30.98,
605251,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),304,Upper West Side,Summer 2018,27.2,
670950,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),402,West Queens,Summer 2020,30.94,
670970,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,Summer 2020,29.16,
670954,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),308,Greenwich Village - SoHo,Summer 2020,28.54,
605271,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,Summer 2018,30.34,
670948,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),404,Bayside - Little Neck,Summer 2020,30.45,
670969,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),204,East New York,Summer 2020,29.48,
650928,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,Summer 2019,29.58,
670959,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),303,East Harlem,Summer 2020,30.19,
605266,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),409,Southeast Queens,Summer 2018,31.82,
670971,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,Summer 2020,28.79,
670958,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),304,Upper West Side,Summer 2020,28.97,
650936,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,Summer 2019,34.05,
670968,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),205,Sunset Park,Summer 2020,28.93,
650960,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),501,Port Richmond,Summer 2019,27.27,
605260,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),403,Flushing - Clearview,Summer 2018,31.28,
605231,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,Summer 2018,31.24,
670960,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,Summer 2020,29.52,
650951,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),402,West Queens,Summer 2019,29.95,
605242,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),206,Borough Park,Summer 2018,30.44,
650959,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),410,Rockaways,Summer 2019,37.44,
605240,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),204,East New York,Summer 2018,31.71,
605264,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),407,Southwest Queens,Summer 2018,31.93,
670956,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),306,Chelsea - Clinton,Summer 2020,27.83,
605270,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),503,Willowbrook,Summer 2018,29.36,
650926,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,Summer 2019,29.06,
605244,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,Summer 2018,32.96,
605238,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,Summer 2018,28.54,
605237,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),201,Greenpoint,Summer 2018,28.98,
605265,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),408,Jamaica,Summer 2018,31.33,
650934,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),206,Borough Park,Summer 2019,30.62,
670963,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,Summer 2020,30.89,
650938,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,Summer 2019,33.33,
670951,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),401,Long Island City - Astoria,Summer 2020,30.96,
605269,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),502,Stapleton - St. George,Summer 2018,29.89,
670975,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,Summer 2020,30.15,
670966,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,Summer 2020,29.46,
605230,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,Summer 2018,29.8,
670953,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,Summer 2020,28.92,
650953,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),404,Bayside - Little Neck,Summer 2019,31.68,
650963,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,Summer 2019,30.14,
605245,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,Summer 2018,30.9,
650937,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,Summer 2019,30.83,
650922,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,Summer 2019,28.43,
650931,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,Summer 2019,30.46,
670943,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),409,Southeast Queens,Summer 2020,29.98,
605239,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,Summer 2018,30.2,
605262,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),405,Ridgewood - Forest Hills,Summer 2018,30.96,
670945,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),407,Southwest Queens,Summer 2020,29.73,
650954,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),405,Ridgewood - Forest Hills,Summer 2019,31.3,
650935,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,Summer 2019,31.43,
605248,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),301,Washington Heights,Summer 2018,28.95,
605247,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,Summer 2018,29.64,
670952,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,Summer 2020,27.71,
